Spectroscopic Data At X=0, Y=0
Wavelength (nm)	Psi (65.00, 70.00, 75.00°)	Delta (65.00, 70.00, 75.00°)									Model	
556.719360	18.830927	158.903320	18.926085	158.955688	12.678390	143.829102	12.787260	144.232635	7.842164	94.565475	7.875331	96.438103	
558.309387	18.808580	158.943817	18.895451	159.015442	12.629652	143.931015	12.748373	144.291550	7.789406	94.281479	7.836458	96.289650	
559.899353	18.777912	158.984756	18.865313	159.074905	12.555929	143.932434	12.710072	144.350616	7.755974	94.130684	7.798114	96.142731	
561.489258	18.732765	158.996704	18.835369	159.134109	12.543041	143.981430	12.672022	144.409470	7.707503	94.072792	7.760104	95.995049	
563.079163	18.700268	159.070908	18.805849	159.193024	12.509838	144.078415	12.634474	144.468399	7.677614	93.733543	7.722567	95.848396	
564.668945	18.666275	159.147491	18.776682	159.251678	12.476933	144.143646	12.597352	144.527298	7.642932	93.496269	7.685458	95.702293	
566.258728	18.650023	159.234741	18.747688	159.310059	12.418509	144.171066	12.560456	144.585999	7.612132	93.430290	7.648661	95.555344	
567.848450	18.612379	159.222198	18.719244	159.368179	12.387682	144.180420	12.524205	144.644913	7.573375	93.304893	7.612407	95.410583	
569.438110	18.592817	159.301910	18.690977	159.426025	12.344522	144.183502	12.488183	144.703613	7.528907	93.020477	7.576462	95.265076	
571.027710	18.567522	159.343201	18.663023	159.483597	12.300073	144.271866	12.452539	144.762268	7.502998	92.983673	7.540906	95.119926	
572.617249	18.518364	159.364960	18.635458	159.540909	12.276841	144.304260	12.417361	144.820969	7.481294	92.636086	7.505785	94.975822	
574.206665	18.495527	159.467194	18.608032	159.597946	12.263936	144.455246	12.382366	144.879425	7.451466	92.491257	7.470941	94.830711	
575.796082	18.487879	159.497467	18.581095	159.654724	12.215714	144.465591	12.347950	144.938049	7.414511	92.491608	7.436584	94.687553	
577.385498	18.450819	159.567245	18.554335	159.711243	12.182223	144.507065	12.313757	144.996490	7.382919	92.159622	7.402523	94.543762	
578.974731	18.409134	159.626083	18.527866	159.767487	12.139402	144.507446	12.279921	145.054871	7.350992	92.245590	7.368825	94.400360	
580.564026	18.396439	159.724319	18.501745	159.823471	12.106170	144.551743	12.246502	145.113266	7.321936	92.028458	7.335520	94.257835	
582.153198	18.371962	159.689270	18.475735	159.879196	12.079684	144.647659	12.213234	145.171387	7.281201	91.879356	7.302465	94.114212	
583.742310	18.352072	159.794800	18.450230	159.934662	12.042938	144.659241	12.180557	145.229721	7.245100	91.549660	7.269889	93.972862	
585.331421	18.291523	159.819305	18.424818	159.989868	12.006612	144.714142	12.148014	145.287781	7.213690	91.226700	7.237550	93.830338	
586.920410	18.284739	159.900940	18.399761	160.044815	11.980831	144.820862	12.115895	145.345871	7.183271	91.187286	7.205595	93.688896	
588.509338	18.257631	159.920258	18.374935	160.099503	11.925556	144.913269	12.084062	145.403839	7.160131	91.021706	7.173954	93.547501	
590.098206	18.239141	159.982208	18.350317	160.153931	11.914248	144.941620	12.052486	145.461685	7.127777	90.888290	7.142606	93.405975	
591.687012	18.214146	160.022064	18.326054	160.208099	11.883535	144.973801	12.021336	145.519577	7.107486	90.584587	7.111636	93.265640	
593.275757	18.200747	160.104111	18.301867	160.262039	11.840804	145.011261	11.990295	145.577179	7.077993	90.586868	7.080883	93.124069	
594.864441	18.137821	160.133316	18.278139	160.315704	11.829489	145.132156	11.959798	145.634949	7.055161	90.358475	7.050561	92.984695	
596.453064	18.128679	160.195648	18.254469	160.369125	11.775553	145.055191	11.929389	145.692413	7.026323	90.216255	7.020442	92.843964	
598.041626	18.103024	160.199478	18.231173	160.422287	11.741798	145.121033	11.899424	145.749969	7.000966	90.103531	6.990698	92.704720	
599.630127	18.077799	160.282547	18.208019	160.475204	11.744231	145.200424	11.869643	145.807312	6.964796	89.920334	6.961202	92.564941	
601.218567	18.070917	160.295944	18.185137	160.527878	11.695480	145.212631	11.840191	145.864624	6.934938	89.732277	6.932020	92.425789	
