Frequency (kHz),SA_Noise (dBm),PD_Noise  (dBm),Probe_Noise  (dBm),Probe_Coupling_Noise  (dBm),Probe_Coupling_RF_Noise  (dBm)
9.183303085,-126.5296004,-109.4328002,-107.2792008,-94.7815994,-102.1256014
9.219600726,-126.8527998,-109.0208022,-108.3656006,-94.5360016,-102.8639986
9.255898367,-126.9567992,-108.7071992,-107.8664002,-94.9752,-101.8128022
9.292196007,-126.9735992,-109.1975996,-106.7919998,-94.276799,-102.5240004
9.328493648,-127.3903992,-108.4576006,-107.690399,-94.0224,-101.6503982
9.364791289,-126.8055984,-108.6423994,-107.5559998,-93.3255998,-101.0248016
9.401088929,-127.7383988,-108.4248002,-107.4912002,-94.7327986,-101.689601
9.43738657,-126.4239992,-108.370398,-107.1055998,-94.4688002,-101.5544008
9.473684211,-127.3823974,-108.4919998,-106.9040006,-94.3232008,-100.9776
9.509981851,-127.444002,-108.6848006,-108.4199998,-94.6807998,-101.4311996
9.546279492,-127.7672,-109.2359998,-107.5408006,-94.5615998,-101.7320006
9.582577132,-127.2112,-109.370401,-107.293599,-93.8304002,-100.7432008
9.618874773,-127.2087982,-109.4680008,-106.504001,-94.1824006,-100.6952012
9.655172414,-127.3840012,-108.8528002,-106.9455994,-94.0072006,-101.051201
9.691470054,-127.5503968,-108.5848006,-106.0895996,-94.7224,-100.9504012
9.727767695,-127.2560014,-107.9679992,-106.9248014,-95.0576004,-99.2423996
9.764065336,-127.4479994,-107.8439986,-107.6864,-94.9319992,-100.836
9.800362976,-126.9471998,-108.3496002,-107.1384002,-94.3744002,-99.523201
9.836660617,-127.1800004,-109.1895998,-106.921602,-94.2431992,-98.8984008
9.872958258,-127.2143994,-108.9240022,-107.3136002,-95.187201,-99.8912002
9.909255898,-127.5576002,-108.7983992,-107.3567978,-95.081601,-97.959999
9.945553539,-126.9527998,-108.6552002,-107.5776002,-95.3727996,-96.5591996
9.98185118,-127.5975996,-108.800801,-106.973601,-94.142401,-52.0536002
10.01814882,-127.210399,-108.6656006,-106.7416002,-93.8448012,-92.6768004
10.05444646,-127.7680008,-109.2888002,-107.8384002,-95.4351988,-96.3272002
10.0907441,-127.6815994,-109.3320006,-107.1287994,-94.4775984,-98.0544024
10.12704174,-127.6040008,-108.9992018,-107.5272004,-94.589601,-98.6600008
10.16333938,-127.5384002,-108.8552,-106.881601,-93.9935988,-98.0624008
10.19963702,-128.2128006,-108.9527998,-106.6336012,-94.5447998,-99.3207996
10.23593466,-127.0136002,-108.547998,-106.9327988,-94.0583984,-99.6600006
10.2722323,-126.7263992,-108.336,-107.2255994,-93.6320022,-100.1399992
