delta_c/2pi (MHz),Omega_c/2pi (MHz),Ion Amplitude (arb. units)
-997.9489709,1.689261042,0.21507008
-997.9489709,1.696923769,0.21626845
-997.9489709,1.704586496,0.217469615
-997.9489709,1.712249224,0.218673247
-997.9489709,1.719911951,0.219879019
-997.9489709,1.727574679,0.221086605
-997.9489709,1.735237406,0.222295677
-997.9489709,1.742900133,0.223505908
-997.9489709,1.750562861,0.224716971
-997.9489709,1.758225588,0.225928539
-997.9489709,1.765888315,0.227140285
-997.9489709,1.773551043,0.228351881
-997.9489709,1.78121377,0.229563001
-997.9489709,1.788876498,0.230773318
-997.9489709,1.796539225,0.231982504
-997.9489709,1.804201952,0.233190232
-997.9489709,1.81186468,0.234396175
-997.9489709,1.819527407,0.235600006
-997.9489709,1.827190135,0.236801398
-997.9489709,1.834852862,0.238000024
-997.9489709,1.842515589,0.239195557
-997.9489709,1.850178317,0.240387669
-997.9489709,1.857841044,0.241576033
-997.9489709,1.865503772,0.242760324
-997.9489709,1.873166499,0.243940212
-997.9489709,1.880829226,0.245115371
-997.9489709,1.888491954,0.246285475
-997.9489709,1.896154681,0.247450196
-997.9489709,1.903817408,0.248609206
-997.9489709,1.911480136,0.249762179
-997.9489709,1.919142863,0.250908788
-997.9489709,1.926805591,0.252048705
-997.9489709,1.934468318,0.253181604
-997.9489709,1.942131045,0.254307157
-997.9489709,1.949793773,0.255425037
-997.9489709,1.9574565,0.256534918
-997.9489709,1.965119228,0.257636471
-997.9489709,1.972781955,0.25872937
-997.9489709,1.980444682,0.259813288
-997.9489709,1.98810741,0.260887898
-997.9489709,1.995770137,0.261952873
-997.9489709,2.003432865,0.263007884
-997.9489709,2.011095592,0.264052606
-997.9489709,2.018758319,0.265086712
-997.9489709,2.026421047,0.266109873
-997.9489709,2.034083774,0.267121764
-997.9489709,2.041746501,0.268122056
-997.9489709,2.049409229,0.269110424
-997.9489709,2.057071956,0.270086539
-997.9489709,2.064734684,0.271050074
-997.9489709,2.072397411,0.272000704
-997.9489709,2.080060138,0.272938118
-997.9489709,2.087722866,0.273862061
-997.9489709,2.095385593,0.274772393
-997.9489709,2.103048321,0.275669139
-997.9489709,2.110711048,0.276552483
-997.9489709,2.118373775,0.277422712
-997.9489709,2.126036503,0.278280158
-997.9489709,2.13369923,0.279125166
-997.9489709,2.141361957,0.279958081
-997.9489709,2.149024685,0.280779247
-997.9489709,2.156687412,0.281589008
-997.9489709,2.16435014,0.282387709
-997.9489709,2.172012867,0.283175696
-997.9489709,2.179675594,0.283953311
-997.9489709,2.187338322,0.284720901
-997.9489709,2.195001049,0.285478809
-997.9489709,2.202663777,0.286227379
-997.9489709,2.210326504,0.286966958
-997.9489709,2.217989231,0.287697888
-997.9489709,2.225651959,0.288420515
-997.9489709,2.233314686,0.289135184
-997.9489709,2.240977414,0.289842238
-997.9489709,2.248640141,0.290542022
-997.9489709,2.256302868,0.291234881
-997.9489709,2.263965596,0.29192116
-997.9489709,2.271628323,0.292601203
-997.9489709,2.27929105,0.293275354
-997.9489709,2.286953778,0.293943958
-997.9489709,2.294616505,0.29460736
-997.9489709,2.302279233,0.295265904
-997.9489709,2.30994196,0.295919935
-997.9489709,2.317604687,0.296569798
-997.9489709,2.325267415,0.297215836
-997.9489709,2.332930142,0.297858395
-997.9489709,2.34059287,0.298497818
-997.9489709,2.348255597,0.299134451
-997.9489709,2.355918324,0.299768639
-997.9489709,2.363581052,0.300400725
-997.9489709,2.371243779,0.301031054
-997.9489709,2.378906507,0.301659971
-997.9489709,2.386569234,0.302287821
-997.9489709,2.394231961,0.302914947
-997.9489709,2.401894689,0.303541695
-997.9489709,2.409557416,0.304168408
-997.9489709,2.417220143,0.304795433
-997.9489709,2.424882871,0.305423112
-997.9489709,2.432545598,0.306051792
-997.9489709,2.440208326,0.306681815
-997.9489709,2.447871053,0.307313527
-997.9489709,2.45553378,0.307947273
-997.9489709,2.463196508,0.308583396
-997.9489709,2.470859235,0.309222242
-997.9489709,2.478521963,0.309864156
-997.9489709,2.48618469,0.31050948
-997.9489709,2.493847417,0.311158561
-997.9489709,2.501510145,0.311811743
-997.9489709,2.509172872,0.312469369
-997.9489709,2.516835599,0.313131786
-997.9489709,2.524498327,0.313799337
-997.9489709,2.532161054,0.314472367
-997.9489709,2.539823782,0.31515122
-997.9489709,2.547486509,0.315836242
-997.9489709,2.555149236,0.316527776
-997.9489709,2.562811964,0.317226167
-997.9489709,2.570474691,0.31793176
-997.9489709,2.578137419,0.3186449
-997.9489709,2.585800146,0.31936593
-997.9489709,2.593462873,0.320095195
-997.9489709,2.601125601,0.320833041
-997.9489709,2.608788328,0.321579811
-997.9489709,2.616451056,0.32233585
-997.9489709,2.624113783,0.323101503
-997.9489709,2.63177651,0.323877113
-997.9489709,2.639439238,0.324663027
-997.9489709,2.647101965,0.325459588
-997.9489709,2.654764692,0.326267141
-997.9489709,2.66242742,0.32708603
-997.9489709,2.670090147,0.3279166
-997.9489709,2.677752875,0.328759196
-997.9489709,2.685415602,0.329614162
-997.9489709,2.693078329,0.330481842
-997.9489709,2.700741057,0.331362582
-997.9489709,2.708403784,0.332256725
-997.9489709,2.716066512,0.333164617
-997.9489709,2.723729239,0.334086602
-997.9489709,2.731391966,0.335023024
-997.9489709,2.739054694,0.335974228
-997.9489709,2.746717421,0.336940558
-997.9489709,2.754380149,0.33792236
-997.9489709,2.762042876,0.338919977
-997.9489709,2.769705603,0.339933755
-997.9489709,2.777368331,0.340964037
-997.9489709,2.785031058,0.342011169
-997.9489709,2.792693785,0.343075494
-997.9489709,2.800356513,0.344157358
-997.9489709,2.80801924,0.345257105
-997.9489709,2.815681968,0.346332059
-997.9489709,2.823344695,0.34729418
-997.9489709,2.831007422,0.348017763
-996.4482628,0.539851933,0.082482164
-996.4482628,0.547514661,0.083124561
-996.4482628,0.555177388,0.083982297
-996.4482628,0.562840116,0.084946162
-996.4482628,0.570502843,0.08593928
-996.4482628,0.57816557,0.086924155
-996.4482628,0.585828298,0.087900926
-996.4482628,0.593491025,0.088869735
-996.4482628,0.601153753,0.08983072
-996.4482628,0.60881648,0.090784021
-996.4482628,0.616479207,0.091729778
-996.4482628,0.624141935,0.09266813
-996.4482628,0.631804662,0.093599218
-996.4482628,0.639467389,0.09452318
-996.4482628,0.647130117,0.095440157
-996.4482628,0.654792844,0.096350288
-996.4482628,0.662455572,0.097253713
-996.4482628,0.670118299,0.098150572
-996.4482628,0.677781026,0.099041003
-996.4482628,0.685443754,0.099925148
-996.4482628,0.693106481,0.100803146
-996.4482628,0.700769209,0.101675135
-996.4482628,0.708431936,0.102541257
-996.4482628,0.716094663,0.10340165
-996.4482628,0.723757391,0.104256455
-996.4482628,0.731420118,0.105105811
-996.4482628,0.739082846,0.105949857
-996.4482628,0.746745573,0.106788734
-996.4482628,0.7544083,0.107622581
-996.4482628,0.762071028,0.108451538
-996.4482628,0.769733755,0.109275744
-996.4482628,0.777396482,0.11009534
-996.4482628,0.78505921,0.110910464
-996.4482628,0.792721937,0.111721257
-996.4482628,0.800384665,0.112527858
-996.4482628,0.808047392,0.113330407
-996.4482628,0.815710119,0.114129044
-996.4482628,0.823372847,0.114923908
-996.4482628,0.831035574,0.115715138
-996.4482628,0.838698302,0.116502876
-996.4482628,0.846361029,0.117287259
-996.4482628,0.854023756,0.118068429
-996.4482628,0.861686484,0.118846525
-996.4482628,0.869349211,0.119621685
-996.4482628,0.877011938,0.120394051
-996.4482628,0.884674666,0.121163762
-996.4482628,0.892337393,0.121930957
-996.4482628,0.900000121,0.122695776
-996.4482628,0.907662848,0.123458359
-996.4482628,0.915325575,0.124218845
-996.4482628,0.922988303,0.124977375
-996.4482628,0.93065103,0.125734087
-996.4482628,0.938313758,0.126489122
-996.4482628,0.945976485,0.127242619
-996.4482628,0.953639212,0.127994718
-996.4482628,0.96130194,0.128745559
-996.4482628,0.968964667,0.129495281
-996.4482628,0.976627395,0.130244024
-996.4482628,0.984290122,0.130991927
-996.4482628,0.991952849,0.131739131
-996.4482628,0.999615577,0.132485775
-996.4482628,1.007278304,0.133231999
-996.4482628,1.014941031,0.133977941
-996.4482628,1.022603759,0.134723743
-996.4482628,1.030266486,0.135469544
-996.4482628,1.037929214,0.136215483
-996.4482628,1.045591941,0.136961701
-996.4482628,1.053254668,0.137708336
-996.4482628,1.060917396,0.138455528
-996.4482628,1.068580123,0.139203418
-996.4482628,1.076242851,0.139952145
-996.4482628,1.083905578,0.140701848
-996.4482628,1.091568305,0.141452667
-996.4482628,1.099231033,0.142204743
-996.4482628,1.10689376,0.142958213
-996.4482628,1.114556488,0.14371322
-996.4482628,1.122219215,0.144469901
-996.4482628,1.129881942,0.145228396
-996.4482628,1.13754467,0.145988846
-996.4482628,1.145207397,0.146751391
-996.4482628,1.152870124,0.147516168
-996.4482628,1.160532852,0.14828332
-996.4482628,1.168195579,0.149052984
-996.4482628,1.175858307,0.149825301
-996.4482628,1.183521034,0.15060041
-996.4482628,1.191183761,0.151378452
-996.4482628,1.198846489,0.152159565
-996.4482628,1.206509216,0.15294389
-996.4482628,1.214171944,0.153731566
-996.4482628,1.221834671,0.154522733
-996.4482628,1.229497398,0.155317531
-996.4482628,1.237160126,0.156116098
-996.4482628,1.244822853,0.156918576
-996.4482628,1.25248558,0.157725103
-996.4482628,1.260148308,0.15853582
-996.4482628,1.267811035,0.159350865
-996.4482628,1.275473763,0.160170379
-996.4482628,1.28313649,0.160994501
-996.4482628,1.290799217,0.161823372
-996.4482628,1.298461945,0.16265713
-996.4482628,1.306124672,0.163495916
-996.4482628,1.3137874,0.164339868
-996.4482628,1.321450127,0.165189128
-996.4482628,1.329112854,0.166043834
-996.4482628,1.336775582,0.166904125
-996.4482628,1.344438309,0.167770143
-996.4482628,1.352101037,0.168642027
-996.4482628,1.359763764,0.169519915
-996.4482628,1.367426491,0.170403948
-996.4482628,1.375089219,0.171294266
-996.4482628,1.382751946,0.172191008
-996.4482628,1.390414673,0.173094314
-996.4482628,1.398077401,0.174004324
-996.4482628,1.405740128,0.174921177
-996.4482628,1.413402856,0.175845013
-996.4482628,1.421065583,0.176775971
-996.4482628,1.42872831,0.177714192
-996.4482628,1.436391038,0.178659815
-996.4482628,1.444053765,0.17961298
-996.4482628,1.451716493,0.180573826
-996.4482628,1.45937922,0.181542493
-996.4482628,1.467041947,0.182519121
-996.4482628,1.474704675,0.183503849
-996.4482628,1.482367402,0.184496818
-996.4482628,1.49003013,0.185498166
-996.4482628,1.497692857,0.186508034
-996.4482628,1.505355584,0.187526561
-996.4482628,1.513018312,0.188553886
-996.4482628,1.520681039,0.18959015
-996.4482628,1.528343766,0.190635479
-996.4482628,1.536006494,0.191689962
-996.4482628,1.543669221,0.192753607
-996.4482628,1.551331949,0.19382631
-996.4482628,1.558994676,0.194907861
-996.4482628,1.566657403,0.19599798
-996.4482628,1.574320131,0.197096359
-996.4482628,1.581982858,0.198202681
-996.4482628,1.589645586,0.199316629
-996.4482628,1.597308313,0.200437888
-996.4482628,1.60497104,0.201566141
-996.4482628,1.612633768,0.202701072
-996.4482628,1.620296495,0.203842365
-996.4482628,1.627959223,0.204989702
