Frequency (kHz),SA_Noise (dBm),CA_Noise_open  (dBm),CA_Noise_cell_connected  (dBm),Probe_Noise  (dBm),Probe_Coupling_Noise  (dBm),Probe_Coupling_RF_Noise  (dBm)
4.827586207,-123.163199,-109.6823992,-97.3448,-97.0743988,-94.9815996,-91.2024
4.863883848,-122.2311994,-109.2688004,-96.8480012,-97.203198,-94.6224,-90.7968004
4.900181488,-123.2384002,-109.095201,-97.4856004,-96.8695998,-94.5960006,-91.3104004
4.936479129,-122.590402,-109.3079986,-96.4367996,-95.8447996,-95.2655992,-90.2847992
4.97277677,-121.912799,-110.0112016,-97.5087998,-97.5592008,-95.5520004,-90.8512008
5.00907441,-122.764,-109.4192018,-97.608,-97.159999,-96.046399,-90.3447996
5.045372051,-123.1975984,-109.2607986,-97.2128006,-97.728,-95.6792008,-90.5768004
5.081669691,-122.6639998,-109.5432008,-97.8944,-97.564801,-95.832799,-90.5623992
5.117967332,-122.7983992,-107.0832,-94.9016006,-94.6472,-94.0504012,-90.2839998
5.154264973,-123.5975982,-105.740001,-93.867201,-93.4,-93.059201,-90.5712006
5.190562613,-122.5183992,-109.9384004,-98.5287996,-97.7600006,-95.5847994,-91.2983996
5.226860254,-123.0320024,-108.8232012,-97.8184006,-97.665599,-95.0296022,-89.5383988
5.263157895,-123.3647996,-109.6496002,-97.2488006,-97.7656008,-95.2999984,-90.7783982
5.299455535,-123.4968004,-108.6400008,-98.1584,-97.3095992,-95.4975996,-90.0984008
5.335753176,-123.8423998,-106.9152008,-94.4023984,-92.6096008,-92.8031996,-90.8248
5.372050817,-123.9599992,-109.7488006,-97.7343978,-97.1552002,-95.7648012,-90.9056
5.408348457,-123.6895996,-108.8183976,-98.0415998,-97.7303984,-96.2975996,-92.0727998
5.444646098,-124.6207992,-109.4640016,-97.4087998,-98.1520004,-95.5647994,-90.623201
5.480943739,-123.228801,-110.1591996,-99.0735992,-97.0839996,-94.8056016,-91.0128006
5.517241379,-123.7016022,-109.476001,-98.0608,-97.5207992,-95.8279998,-90.9567996
5.55353902,-123.8471998,-109.5159988,-98.3487992,-97.9272004,-95.5496018,-90.2087998
5.589836661,-124.1,-109.8888,-98.9271988,-98.1783998,-96.2720014,-90.9768006
5.626134301,-123.7607986,-110.2248002,-97.1096008,-97.2040012,-95.4048004,-90.869598
5.662431942,-123.9759996,-110.0479994,-97.8839998,-96.2479994,-94.9488006,-89.799199
5.698729583,-124.0624008,-109.2768006,-97.5976,-98.4608002,-95.7904008,-90.5671996
5.735027223,-123.8912004,-107.4967986,-96.1639998,-95.976001,-95.0248002,-89.956
5.771324864,-123.459999,-109.6711992,-98.5871992,-98.221599,-95.5472,-89.498401
5.807622505,-123.0872008,-108.9376008,-98.1856018,-98.0544004,-95.5224,-90.5007996
5.843920145,-124.2319976,-109.0520006,-98.2080016,-99.0408006,-95.8999984,-90.612799
5.880217786,-124.0583984,-109.6287996,-97.6223998,-99.182399,-95.7744004,-89.6671994
5.916515426,-123.8496002,-110.1048004,-98.071199,-97.8511992,-95.3568008,-90.6576004
5.952813067,-123.5328002,-110.0863982,-97.6311996,-98.1791994,-94.8479998,-90.7079986
5.989110708,-123.8023988,-109.8135986,-98.590399,-98.382399,-95.2951996,-90.6416016
6.025408348,-125.0256012,-110.5440002,-98.231201,-98.5679992,-95.5535994,-90.4175996
6.061705989,-124.565599,-110.7736008,-99.0040008,-98.564801,-96.7591996,-90.998401
6.09800363,-124.284001,-110.1072004,-99.4215988,-97.4319994,-96.890399,-91.0087998
6.13430127,-123.821599,-109.1032,-97.7760012,-97.4303998,-96.8912002,-90.4472016
6.170598911,-124.1575988,-109.5136,-98.2168,-97.7143998,-95.8528,-90.4440004
6.206896552,-123.7968018,-111.310402,-98.603198,-98.3528,-95.4832,-90.1832
6.243194192,-124.3496002,-109.3215988,-98.8615998,-99.0664002,-95.9808,-91.1024004
6.279491833,-124.7352006,-109.6415986,-98.4311984,-99.3992004,-95.6567978,-90.1472002
6.315789474,-125.3952012,-109.8776002,-98.1471998,-98.4935972,-95.5136002,-89.9288008
6.352087114,-124.5832014,-109.8888,-98.8031998,-98.636803,-95.8399994,-91.0040006
6.388384755,-125.7016008,-109.6311996,-98.0823988,-99.8079986,-96.3016008,-91.4544022
6.424682396,-125.0168014,-110.0263992,-98.123999,-98.3471998,-96.1991988,-91.5240004
6.460980036,-125.0136002,-109.7447998,-98.4896012,-98.3335982,-95.5720002,-91.2376006
6.497277677,-124.8808014,-109.6776014,-98.0648012,-98.456801,-97.0143998,-91.9311984
6.533575318,-124.806398,-110.6984008,-98.9183992,-97.772801,-96.206398,-91.2119994
6.569872958,-124.729599,-110.4703978,-98.2007984,-99.2080002,-94.7912004,-90.2720002
6.606170599,-124.6968002,-110.6135986,-98.6608002,-99.8223998,-95.908,-91.0335998
6.64246824,-125.0759994,-110.1487974,-99.1768002,-99.2615996,-95.7431992,-90.6791992
6.67876588,-124.8951996,-110.6087998,-98.488002,-98.101599,-95.4936006,-90.7352006
6.715063521,-125.0856002,-110.551201,-98.1335998,-97.8552004,-95.3192002,-91.5007996
6.751361162,-125.2712008,-109.418399,-98.292,-98.7544004,-96.3472002,-91.7264008
6.787658802,-124.6888,-110.3215988,-98.7063994,-98.315999,-96.5064012,-90.8552
6.823956443,-124.0727996,-110.4432024,-98.6992004,-98.2608,-95.2408004,-90.7191986
6.860254083,-124.3552,-111.2048004,-99.0112016,-98.8143998,-95.8199998,-91.4912018
6.896551724,-124.7319992,-110.4616014,-98.559201,-99.8415998,-96.0727998,-91.0927996
6.932849365,-124.3087998,-110.4528,-98.872,-99.0303986,-96.3664004,-91.584801
6.969147005,-124.5535996,-109.8832,-98.6528018,-99.0607986,-96.0735994,-90.7143996
7.005444646,-124.5760008,-110.1999984,-99.4728012,-98.9880006,-96.4063994,-90.4056002
7.041742287,-124.3,-110.4400024,-99.1151992,-99.4975996,-95.9936006,-91.2007998
7.078039927,-124.711998,-110.640001,-98.5919996,-99.3319992,-95.8192002,-91.615999
7.114337568,-124.3608002,-111.4071992,-99.2304002,-99.3024004,-95.9456008,-91.3543976
7.150635209,-125.2847994,-110.3392,-98.6175994,-98.7111984,-96.8951994,-91.562401
7.186932849,-124.6639998,-110.0295974,-100.0951996,-98.453601,-96.8440004,-91.8024004
7.22323049,-125.1768004,-110.8247984,-99.498399,-98.9639996,-96.5327986,-91.9688004
7.259528131,-125.128801,-109.7023984,-99.0583982,-99.3336014,-96.2328002,-91.5639998
7.295825771,-125.4936006,-109.0384018,-98.8832002,-98.8623994,-96.1599992,-91.4584002
7.332123412,-125.2231994,-109.1608002,-98.938402,-99.1840012,-96.2856018,-91.0920016
7.368421053,-124.3912002,-109.763199,-98.9408004,-99.3792008,-97.5103988,-91.4087998
7.404718693,-124.4279998,-109.0664002,-99.731999,-99.6663986,-96.064801,-92.093599
7.441016334,-125.0936004,-110.9224,-99.687201,-99.2576004,-95.1488008,-91.981601
7.477313975,-125.3007994,-111.2144014,-98.0159988,-99.3272002,-95.5504014,-91.450398
7.513611615,-125.2775986,-110.3255996,-98.8304,-99.5376008,-95.968001,-91.228801
7.549909256,-125.1903992,-110.9864002,-99.3159988,-99.7632006,-96.4695998,-92.1543992
7.586206897,-125.4391998,-110.6936006,-98.6400008,-99.9968004,-96.5248,-92.3320024
7.622504537,-125.8504012,-110.8440002,-99.3160004,-99.4647996,-96.2296006,-92.1279998
7.658802178,-124.2024002,-110.8584002,-98.5600008,-100.471199,-96.8488006,-91.4992002
7.695099819,-125.4423994,-110.5224,-98.9127992,-99.335199,-96.2576006,-91.6271988
7.731397459,-125.6744006,-110.0071988,-99.7792024,-99.4792006,-97.0983996,-91.9992006
7.7676951,-125.8976014,-110.9496002,-99.076001,-99.7832,-97.0208008,-91.9600006
7.80399274,-125.6015992,-110.6615982,-98.7567992,-99.5496004,-96.4240006,-91.0663986
7.840290381,-125.3839996,-111.1928006,-98.3912,-99.6335982,-96.6744002,-92.4344012
7.876588022,-125.3919998,-110.326399,-99.1856002,-99.2416016,-96.2712006,-92.9584
7.912885662,-125.1391982,-109.9360002,-99.131201,-99.6472014,-96.8303986,-92.3143982
7.949183303,-125.8224012,-109.7559998,-99.6367996,-100.0128004,-96.9975996,-91.5376008
7.985480944,-125.8376024,-110.4783996,-99.7680008,-99.899199,-97.210402,-90.721599
8.021778584,-126.0839996,-110.4128006,-99.6423996,-99.9440002,-97.6775986,-90.9024004
