delta_c/2pi (MHz),Omega_p/2pi (MHz),EIT Amplitude (arb. units)
-997.9440193,1.6445935,0.018439545
-997.9440193,1.668181358,0.017632784
-997.9440193,1.691769216,0.016775249
-997.9440193,1.715357074,0.015877295
-997.9440193,1.738944932,0.014949276
-997.9440193,1.762532789,0.014001549
-997.9440193,1.786120647,0.013044468
-997.9440193,1.809708505,0.012088388
-997.9440193,1.833296363,0.011143663
-997.9440193,1.85688422,0.01022065
-997.9440193,1.880472078,0.009329703
-997.9440193,1.904059936,0.008481176
-997.9440193,1.927647794,0.007685426
-997.9440193,1.951235652,0.006952806
-997.9440193,1.974823509,0.006293673
-997.9440193,1.998411367,0.005718316
-997.9440193,2.021999225,0.005236412
-997.9440193,2.045587083,0.0048558
-997.9440193,2.069174941,0.004580823
-997.9440193,2.092762798,0.004411302
-997.9440193,2.116350656,0.004343084
-997.9440193,2.139938514,0.004369644
-997.9440193,2.163526372,0.004483511
-997.9440193,2.187114229,0.004677037
-997.9440193,2.210702087,0.004942574
-997.9440193,2.234289945,0.005272475
-997.9440193,2.257877803,0.005659093
-997.9440193,2.281465661,0.00609478
-997.9440193,2.305053518,0.006571888
-997.9440193,2.328641376,0.007082771
-997.9440193,2.352229234,0.00761978
-997.9440193,2.375817092,0.008175268
-997.9440193,2.39940495,0.008741588
-997.9440193,2.422992807,0.009311093
-997.9440193,2.446580665,0.009876136
-997.9440193,2.470168523,0.010429254
-997.9440193,2.493756381,0.010963815
-997.9440193,2.517344238,0.011475142
-997.9440193,2.540932096,0.011961653
-997.9440193,2.564519954,0.012425109
-997.9440193,2.588107812,0.012869718
-997.9440193,2.61169567,0.013300906
-997.9440193,2.635283527,0.013724471
-997.9440193,2.658871385,0.014146238
-997.9440193,2.682459243,0.014572035
-997.9440193,2.706047101,0.015007687
-997.9440193,2.729634959,0.015459021
-997.9440193,2.753222816,0.015931862
-997.9440193,2.776810674,0.016432037
-997.9440193,2.800398532,0.016965371
-997.9440193,2.82398639,0.017537691
-997.9440193,2.847574247,0.018154823
-997.9440193,2.871162105,0.018822593
-997.9440193,2.894749963,0.019546826
-997.9440193,2.918337821,0.02033335
-997.9440193,2.941925679,0.021187839
-997.9440193,2.965513536,0.022115013
-997.9440193,2.989101394,0.02311708
-997.9440193,3.012689252,0.024191864
-997.9440193,3.03627711,0.025331994
-997.9440193,3.059864967,0.02652592
-997.9440193,3.083452825,0.027759807
-997.9440193,3.107040683,0.029019009
-997.9440193,3.130628541,0.030288774
-997.9440193,3.154216399,0.031554349
-997.9440193,3.177804256,0.032800983
-997.9440193,3.201392114,0.034013925
-997.9440193,3.224979972,0.035178422
-997.9440193,3.24856783,0.036279724
-997.9440193,3.272155688,0.037303078
-997.9440193,3.295743545,0.038233732
-997.9440193,3.319331403,0.039056935
-997.9440193,3.342919261,0.039757936
-997.9440193,3.366507119,0.040321982
-997.9440193,3.390094976,0.040734322
-997.9440193,3.413682834,0.040980218
-997.9440193,3.437270692,0.041045557
-997.9440193,3.46085855,0.040918824
-997.9440193,3.484446408,0.040594394
-997.9440193,3.508034265,0.040075648
-997.9440193,3.531622123,0.039375347
-997.9440193,3.555209981,0.038512896
-997.9440193,3.578797839,0.037510889
-997.9440193,3.602385697,0.036392836
-997.9440193,3.625973554,0.035182299
-997.9440193,3.649561412,0.03390284
-997.9440193,3.67314927,0.032578019
-997.9440193,3.696737128,0.0312314
-997.9440193,3.720324985,0.029886542
-997.9440193,3.743912843,0.028567009
-997.9440193,3.767500701,0.027296361
-997.9440193,3.791088559,0.02609816
-997.9440193,3.814676417,0.024995968
-997.9440193,3.838264274,0.024013347
-997.9440193,3.861852132,0.023173857
-997.9440193,3.88543999,0.022501061
-997.9440193,3.909027848,0.02201852
-997.9440193,3.932615706,0.021749795
-997.9440193,3.956203563,0.021718449
-997.9440193,3.979791421,0.021947915
-997.9440193,4.003379279,0.022459825
-997.9440193,4.026967137,0.023269899
