delta_c/2pi (MHz),Omega_c/2pi (MHz),EIT Amplitude (arb. units)
-998.0363734,1.627959223,0.004507382
-998.0363734,1.63562195,0.004641187
-998.0363734,1.643284677,0.004777521
-998.0363734,1.650947405,0.00491623
-998.0363734,1.658610132,0.005057162
-998.0363734,1.666272859,0.005200163
-998.0363734,1.673935587,0.005345081
-998.0363734,1.681598314,0.005491762
-998.0363734,1.689261042,0.005640054
-998.0363734,1.696923769,0.005789804
-998.0363734,1.704586496,0.005940858
-998.0363734,1.712249224,0.006093063
-998.0363734,1.719911951,0.006246268
-998.0363734,1.727574679,0.006400317
-998.0363734,1.735237406,0.00655506
-998.0363734,1.742900133,0.006710342
-998.0363734,1.750562861,0.00686601
-998.0363734,1.758225588,0.007021912
-998.0363734,1.765888315,0.007177895
-998.0363734,1.773551043,0.007333805
-998.0363734,1.78121377,0.00748949
-998.0363734,1.788876498,0.007644797
-998.0363734,1.796539225,0.007799572
-998.0363734,1.804201952,0.007953663
-998.0363734,1.81186468,0.008106917
-998.0363734,1.819527407,0.00825918
-998.0363734,1.827190135,0.0084103
-998.0363734,1.834852862,0.008560124
-998.0363734,1.842515589,0.008708498
-998.0363734,1.850178317,0.00885527
-998.0363734,1.857841044,0.009000287
-998.0363734,1.865503772,0.009143395
-998.0363734,1.873166499,0.009284442
-998.0363734,1.880829226,0.009423275
-998.0363734,1.888491954,0.00955974
-998.0363734,1.896154681,0.009693686
-998.0363734,1.903817408,0.009824958
-998.0363734,1.911480136,0.009953403
-998.0363734,1.919142863,0.01007887
-998.0363734,1.926805591,0.010201204
-998.0363734,1.934468318,0.010320253
-998.0363734,1.942131045,0.010435864
-998.0363734,1.949793773,0.010547883
-998.0363734,1.9574565,0.010656159
-998.0363734,1.965119228,0.010760537
-998.0363734,1.972781955,0.010860865
-998.0363734,1.980444682,0.010956989
-998.0363734,1.98810741,0.011048758
-998.0363734,1.995770137,0.011136017
-998.0363734,2.003432865,0.011218614
-998.0363734,2.011095592,0.011296396
-998.0363734,2.018758319,0.01136921
-998.0363734,2.026421047,0.011436903
-998.0363734,2.034083774,0.011499321
-998.0363734,2.041746501,0.011556313
-998.0363734,2.049409229,0.011607724
-998.0363734,2.057071956,0.011653402
-998.0363734,2.064734684,0.011693194
-998.0363734,2.072397411,0.011726947
-998.0363734,2.080060138,0.011754521
-998.0363734,2.087722866,0.011775812
-998.0363734,2.095385593,0.011790798
-998.0363734,2.103048321,0.011799573
-998.0363734,2.110711048,0.011802339
-998.0363734,2.118373775,0.011799372
-998.0363734,2.126036503,0.011790981
-998.0363734,2.13369923,0.01177748
-998.0363734,2.141361957,0.011759187
-998.0363734,2.149024685,0.011736416
-998.0363734,2.156687412,0.011709484
-998.0363734,2.16435014,0.011678707
-998.0363734,2.172012867,0.0116444
-998.0363734,2.179675594,0.01160688
-998.0363734,2.187338322,0.011566463
-998.0363734,2.195001049,0.011523464
-998.0363734,2.202663777,0.011478199
-998.0363734,2.210326504,0.011430985
-998.0363734,2.217989231,0.011382136
-998.0363734,2.225651959,0.01133197
-998.0363734,2.233314686,0.011280802
-998.0363734,2.240977414,0.011228948
-998.0363734,2.248640141,0.011176724
-998.0363734,2.256302868,0.011124446
-998.0363734,2.263965596,0.01107243
-998.0363734,2.271628323,0.011020992
-998.0363734,2.27929105,0.010970447
-998.0363734,2.286953778,0.010921112
-998.0363734,2.294616505,0.010873302
-998.0363734,2.302279233,0.010827334
-998.0363734,2.30994196,0.010783523
-998.0363734,2.317604687,0.010742186
-998.0363734,2.325267415,0.010703638
-998.0363734,2.332930142,0.010668195
-998.0363734,2.34059287,0.010636173
-998.0363734,2.348255597,0.010607889
-998.0363734,2.355918324,0.010583657
-998.0363734,2.363581052,0.010563795
-998.0363734,2.371243779,0.010548617
-998.0363734,2.378906507,0.01053844
-998.0363734,2.386569234,0.01053358
-998.0363734,2.394231961,0.010534353
-998.0363734,2.401894689,0.010541074
-998.0363734,2.409557416,0.01055406
-998.0363734,2.417220143,0.010573626
-998.0363734,2.424882871,0.010600089
-998.0363734,2.432545598,0.010633764
-998.0363734,2.440208326,0.010674967
-998.0363734,2.447871053,0.010724015
-998.0363734,2.45553378,0.010781223
-998.0363734,2.463196508,0.010846906
-998.0363734,2.470859235,0.010921382
-998.0363734,2.478521963,0.011004966
-998.0363734,2.48618469,0.011097974
-998.0363734,2.493847417,0.011200721
-998.0363734,2.501510145,0.011313525
-998.0363734,2.509172872,0.0114367
-998.0363734,2.516835599,0.011570562
-998.0363734,2.524498327,0.011715429
-998.0363734,2.532161054,0.011871614
-998.0363734,2.539823782,0.012039435
-998.0363734,2.547486509,0.012219208
-998.0363734,2.555149236,0.012411248
-998.0363734,2.562811964,0.012615871
-998.0363734,2.570474691,0.012833393
-998.0363734,2.578137419,0.01306413
-998.0363734,2.585800146,0.013308398
-998.0363734,2.593462873,0.013566513
-998.0363734,2.601125601,0.013838792
-998.0363734,2.608788328,0.014125549
-998.0363734,2.616451056,0.0144271
-998.0363734,2.624113783,0.014743763
-998.0363734,2.63177651,0.015075852
-998.0363734,2.639439238,0.015423683
-998.0363734,2.647101965,0.015787573
-998.0363734,2.654764692,0.016167838
-998.0363734,2.66242742,0.016564793
-998.0363734,2.670090147,0.016978754
-998.0363734,2.677752875,0.017410037
-998.0363734,2.685415602,0.017858958
-998.0363734,2.693078329,0.018325834
-998.0363734,2.700741057,0.01881098
-998.0363734,2.708403784,0.019314711
-998.0363734,2.716066512,0.019837345
-998.0363734,2.723729239,0.020379196
-998.0363734,2.731391966,0.020940581
-998.0363734,2.739054694,0.021521816
-998.0363734,2.746717421,0.022123216
-998.0363734,2.754380149,0.022745098
-998.0363734,2.762042876,0.023387777
-998.0363734,2.769705603,0.02405157
-998.0363734,2.777368331,0.024736792
-998.0363734,2.785031058,0.02544376
-998.0363734,2.792693785,0.026172789
-998.0363734,2.800356513,0.026924194
-998.0363734,2.80801924,0.027698293
-998.0363734,2.815681968,0.028463614
-998.0363734,2.823344695,0.029154811
-998.0363734,2.831007422,0.029677973
-996.5359189,0.539851933,-0.004282485
-996.5359189,0.547514661,-0.004087844
-996.5359189,0.555177388,-0.003830964
-996.5359189,0.562840116,-0.003546975
-996.5359189,0.570502843,-0.003260296
-996.5359189,0.57816557,-0.002982674
-996.5359189,0.585828298,-0.002713989
-996.5359189,0.593491025,-0.002454119
-996.5359189,0.601153753,-0.002202943
-996.5359189,0.60881648,-0.001960339
-996.5359189,0.616479207,-0.001726187
-996.5359189,0.624141935,-0.001500365
-996.5359189,0.631804662,-0.001282752
-996.5359189,0.639467389,-0.001073226
-996.5359189,0.647130117,-0.000871666
-996.5359189,0.654792844,-0.000677952
-996.5359189,0.662455572,-0.000491961
-996.5359189,0.670118299,-0.000313573
-996.5359189,0.677781026,-0.000142667
-996.5359189,0.685443754,2.09E-05
-996.5359189,0.693106481,0.000177188
-996.5359189,0.700769209,0.000326379
-996.5359189,0.708431936,0.000468573
-996.5359189,0.716094663,0.000603892
-996.5359189,0.723757391,0.000732458
-996.5359189,0.731420118,0.000854391
-996.5359189,0.739082846,0.000969812
-996.5359189,0.746745573,0.001078844
-996.5359189,0.7544083,0.001181607
-996.5359189,0.762071028,0.001278223
-996.5359189,0.769733755,0.001368813
-996.5359189,0.777396482,0.001453497
-996.5359189,0.78505921,0.001532398
-996.5359189,0.792721937,0.001605636
-996.5359189,0.800384665,0.001673333
-996.5359189,0.808047392,0.001735611
-996.5359189,0.815710119,0.001792589
-996.5359189,0.823372847,0.001844391
-996.5359189,0.831035574,0.001891136
-996.5359189,0.838698302,0.001932946
-996.5359189,0.846361029,0.001969943
-996.5359189,0.854023756,0.002002247
-996.5359189,0.861686484,0.00202998
-996.5359189,0.869349211,0.002053263
-996.5359189,0.877011938,0.002072218
-996.5359189,0.884674666,0.002086965
-996.5359189,0.892337393,0.002097627
-996.5359189,0.900000121,0.002104323
-996.5359189,0.907662848,0.002107176
-996.5359189,0.915325575,0.002106306
-996.5359189,0.922988303,0.002101836
-996.5359189,0.93065103,0.002093885
-996.5359189,0.938313758,0.002082577
-996.5359189,0.945976485,0.00206803
-996.5359189,0.953639212,0.002050368
-996.5359189,0.96130194,0.002029711
-996.5359189,0.968964667,0.002006181
-996.5359189,0.976627395,0.001979898
-996.5359189,0.984290122,0.001950984
-996.5359189,0.991952849,0.001919561
-996.5359189,0.999615577,0.001885749
-996.5359189,1.007278304,0.001849669
-996.5359189,1.014941031,0.001811444
-996.5359189,1.022603759,0.001771194
-996.5359189,1.030266486,0.001729041
-996.5359189,1.037929214,0.001685105
-996.5359189,1.045591941,0.001639509
-996.5359189,1.053254668,0.001592373
-996.5359189,1.060917396,0.001543818
-996.5359189,1.068580123,0.001493966
-996.5359189,1.076242851,0.001442938
-996.5359189,1.083905578,0.001390856
-996.5359189,1.091568305,0.00133784
-996.5359189,1.099231033,0.001284012
-996.5359189,1.10689376,0.001229494
-996.5359189,1.114556488,0.001174405
-996.5359189,1.122219215,0.001118868
-996.5359189,1.129881942,0.001063004
-996.5359189,1.13754467,0.001006934
-996.5359189,1.145207397,0.00095078
-996.5359189,1.152870124,0.000894662
-996.5359189,1.160532852,0.000838702
-996.5359189,1.168195579,0.000783022
-996.5359189,1.175858307,0.000727741
-996.5359189,1.183521034,0.000672983
-996.5359189,1.191183761,0.000618867
-996.5359189,1.198846489,0.000565516
-996.5359189,1.206509216,0.00051305
-996.5359189,1.214171944,0.00046159
-996.5359189,1.221834671,0.000411259
-996.5359189,1.229497398,0.000362177
-996.5359189,1.237160126,0.000314465
-996.5359189,1.244822853,0.000268245
-996.5359189,1.25248558,0.000223638
-996.5359189,1.260148308,0.000180766
-996.5359189,1.267811035,0.000139748
-996.5359189,1.275473763,0.000100708
-996.5359189,1.28313649,6.38E-05
-996.5359189,1.290799217,2.90E-05
-996.5359189,1.298461945,-3.34E-06
-996.5359189,1.306124672,-3.33E-05
-996.5359189,1.3137874,-6.06E-05
-996.5359189,1.321450127,-8.52E-05
-996.5359189,1.329112854,-0.00010704
-996.5359189,1.336775582,-0.000125901
-996.5359189,1.344438309,-0.000141694
-996.5359189,1.352101037,-0.000154298
-996.5359189,1.359763764,-0.000163591
-996.5359189,1.367426491,-0.000169452
-996.5359189,1.375089219,-0.00017176
-996.5359189,1.382751946,-0.000170394
-996.5359189,1.390414673,-0.000165232
-996.5359189,1.398077401,-0.000156153
-996.5359189,1.405740128,-0.000143036
-996.5359189,1.413402856,-0.00012576
-996.5359189,1.421065583,-0.000104203
-996.5359189,1.42872831,-7.82E-05
-996.5359189,1.436391038,-4.78E-05
-996.5359189,1.444053765,-1.26E-05
-996.5359189,1.451716493,2.73E-05
-996.5359189,1.45937922,7.20E-05
-996.5359189,1.467041947,0.000121822
-996.5359189,1.474704675,0.000176739
